world_cup_year,market,broadcasters,notes,source_url
2010,United States,ABC; ESPN; Univision; Telefutura; Galavisión; ESPN Deportes,English and Spanish rights listed separately on the 2010 rights page.,https://en.wikipedia.org/wiki/2010_FIFA_World_Cup_broadcasting_rights
2010,United Kingdom,BBC; ITV; British Eurosport; ESPN UK,BBC and ITV shared live match coverage; British Eurosport and ESPN UK listed for highlights.,https://en.wikipedia.org/wiki/2010_FIFA_World_Cup_broadcasting_rights
2010,Canada,CBC; Bold; SRC; Telelatino,"English, French, and Spanish/Italian coverage listed on the 2010 rights page.",https://en.wikipedia.org/wiki/2010_FIFA_World_Cup_broadcasting_rights
2010,Mexico,TV Azteca; Televisa; TVC Deportes; Televisa Deportes Network; SKY México,"Free-to-air, cable, and satellite broadcasters listed.",https://en.wikipedia.org/wiki/2010_FIFA_World_Cup_broadcasting_rights
2010,Brazil,Rede Globo; Rede Bandeirantes; SporTV; BandSports; ESPN Brasil,Free-to-air plus cable/satellite broadcasters listed.,https://en.wikipedia.org/wiki/2010_FIFA_World_Cup_broadcasting_rights
2010,Australia,SBS,Free-to-air broadcaster listed on the 2010 rights page.,https://en.wikipedia.org/wiki/2010_FIFA_World_Cup_broadcasting_rights
2010,Germany,ARD; ZDF; RTL; Sky Deutschland,"ARD, ZDF, and RTL were free-to-air; Sky Deutschland carried all matches.",https://en.wikipedia.org/wiki/2010_FIFA_World_Cup_broadcasting_rights
2010,France,TF1; France Télévisions; Canal+,TF1 and France Télévisions split free-to-air matches; Canal+ listed for pay TV.,https://en.wikipedia.org/wiki/2010_FIFA_World_Cup_broadcasting_rights
2010,Italy,RAI; SKY Italia,RAI listed for one match per day; SKY Italia listed for all matches.,https://en.wikipedia.org/wiki/2010_FIFA_World_Cup_broadcasting_rights
2010,India,Doordarshan; ESPN STAR Sports,Free-to-air and satellite rights listed.,https://en.wikipedia.org/wiki/2010_FIFA_World_Cup_broadcasting_rights
2010,Japan,NHK; Nippon TV/NNN-NNS; Fuji TV/FNN-FNS; TBS/JNN; TV Asahi/ANN; TV Tokyo/TXN; SKY PerfecTV!,Multiple terrestrial networks plus pay-TV listed.,https://en.wikipedia.org/wiki/2010_FIFA_World_Cup_broadcasting_rights
2010,South Korea,SBS; SBS Sports,Free-to-air and cable/satellite rights listed.,https://en.wikipedia.org/wiki/2010_FIFA_World_Cup_broadcasting_rights
2010,China,CCTV; CCTV-5; CCTV-1; CCTV-7; CCTV-HD,"CCTV carried all matches, with channel-level live allocations listed.",https://en.wikipedia.org/wiki/2010_FIFA_World_Cup_broadcasting_rights
2010,Argentina,Canal 7; Telefe; TyC Sports; DirecTV Sports,"Free-to-air, cable, and satellite broadcasters listed.",https://en.wikipedia.org/wiki/2010_FIFA_World_Cup_broadcasting_rights
2014,Argentina,TyC Sports; TV Pública Digital; DirecTV Sports,Listed on the 2014 rights page.,https://en.wikipedia.org/wiki/2014_FIFA_World_Cup_broadcasting_rights
2014,Australia,SBS,Listed on the 2014 rights page.,https://en.wikipedia.org/wiki/2014_FIFA_World_Cup_broadcasting_rights
2014,China,CCTV,China PR rights holder listed as CCTV.,https://en.wikipedia.org/wiki/2014_FIFA_World_Cup_broadcasting_rights
2014,France,TF1; beIN Sports; France Télévisions,France and territories listing.,https://en.wikipedia.org/wiki/2014_FIFA_World_Cup_broadcasting_rights
2014,Germany,ARD; ZDF,Germany rights holders listed on the 2014 page.,https://en.wikipedia.org/wiki/2014_FIFA_World_Cup_broadcasting_rights
2014,India,Sony SIX; Sony KIX,India rights holders listed on the 2014 page.,https://en.wikipedia.org/wiki/2014_FIFA_World_Cup_broadcasting_rights
2014,Italy,RAI; Sky Sport,"Italian Peninsula listing includes Italy, San Marino, and Vatican City.",https://en.wikipedia.org/wiki/2014_FIFA_World_Cup_broadcasting_rights
2014,Japan,Japan Consortium (Fuji TV; NHK; Nippon Television; TBS; TV Asahi; TV Tokyo),Japan rights listed through the Japan Consortium.,https://en.wikipedia.org/wiki/2014_FIFA_World_Cup_broadcasting_rights
2014,South Korea,KBS; SBS; MBC,Listed as Korea Republic on the 2014 page.,https://en.wikipedia.org/wiki/2014_FIFA_World_Cup_broadcasting_rights
2014,United Kingdom,BBC; ITV,Home Nations and Territories listing.,https://en.wikipedia.org/wiki/2014_FIFA_World_Cup_broadcasting_rights
2014,United States,ABC; ESPN; Univision,United States and territories listing.,https://en.wikipedia.org/wiki/2014_FIFA_World_Cup_broadcasting_rights
2014,Ghana,GBC; Metro TV,Included to show African market coverage from the 2014 rights page.,https://en.wikipedia.org/wiki/2014_FIFA_World_Cup_broadcasting_rights
2014,Nigeria,Broadcasting Organisation of Nigeria; Optima Sports Management International,2014 page lists rights through these organizations rather than a single channel brand.,https://en.wikipedia.org/wiki/2014_FIFA_World_Cup_broadcasting_rights
2018,Argentina,TV Pública; TyC Sports; DirecTV Sports,Listed on the 2018 rights page.,https://en.wikipedia.org/wiki/2018_FIFA_World_Cup_broadcasting_rights
2018,Australia,SBS; Optus Sport,Listed on the 2018 rights page.,https://en.wikipedia.org/wiki/2018_FIFA_World_Cup_broadcasting_rights
2018,Brazil,Globo; SporTV; Fox Sports,Listed on the 2018 rights page.,https://en.wikipedia.org/wiki/2018_FIFA_World_Cup_broadcasting_rights
2018,Canada,CTV; TSN; RDS,Listed on the 2018 rights page.,https://en.wikipedia.org/wiki/2018_FIFA_World_Cup_broadcasting_rights
2018,India,Jio TV; AirTel TV; Sony Pictures Networks,Listed on the 2018 rights page.,https://en.wikipedia.org/wiki/2018_FIFA_World_Cup_broadcasting_rights
2018,Italy,Mediaset,Listed on the 2018 rights page.,https://en.wikipedia.org/wiki/2018_FIFA_World_Cup_broadcasting_rights
2018,Japan,NHK; NTV; TV Asahi; TBS; Fuji TV; TV Tokyo (Japan Consortium),Listed on the 2018 rights page.,https://en.wikipedia.org/wiki/2018_FIFA_World_Cup_broadcasting_rights
2018,Nigeria,NTA; Kwesé Sports; SuperSport; StarTimes; Canal+,Listed on the 2018 rights page.,https://en.wikipedia.org/wiki/2018_FIFA_World_Cup_broadcasting_rights
2018,South Africa,SABC,Listed on the 2018 rights page.,https://en.wikipedia.org/wiki/2018_FIFA_World_Cup_broadcasting_rights
2018,South Korea,SBS,Listed on the 2018 rights page.,https://en.wikipedia.org/wiki/2018_FIFA_World_Cup_broadcasting_rights
2018,United Kingdom,BBC; ITV,Home Nations/Territories listing.,https://en.wikipedia.org/wiki/2018_FIFA_World_Cup_broadcasting_rights
2018,United States,Fox Sports; Telemundo,United States and territories listing.,https://en.wikipedia.org/wiki/2018_FIFA_World_Cup_broadcasting_rights
2022,Argentina,TVP; TyC Sports; DSports,Listed on the 2022 rights page.,https://en.wikipedia.org/wiki/2022_FIFA_World_Cup_broadcasting_rights
2022,Australia,SBS,Listed on the 2022 rights page.,https://en.wikipedia.org/wiki/2022_FIFA_World_Cup_broadcasting_rights
2022,Brazil,Grupo Globo; CazéTV; Grupo Bandeirantes,Listed on the 2022 rights page.,https://en.wikipedia.org/wiki/2022_FIFA_World_Cup_broadcasting_rights
2022,Canada,Bell Media,Listed on the 2022 rights page.,https://en.wikipedia.org/wiki/2022_FIFA_World_Cup_broadcasting_rights
2022,China,CCTV; Douyin; Migu,Listed on the 2022 rights page.,https://en.wikipedia.org/wiki/2022_FIFA_World_Cup_broadcasting_rights
2022,Germany,ARD; ZDF; Magenta Sport,Listed on the 2022 rights page.,https://en.wikipedia.org/wiki/2022_FIFA_World_Cup_broadcasting_rights
2022,India / Indian subcontinent,Viacom18,The 2022 rights page groups the Indian subcontinent under Viacom18.,https://en.wikipedia.org/wiki/2022_FIFA_World_Cup_broadcasting_rights
2022,Italy,RAI,Listed on the 2022 rights page.,https://en.wikipedia.org/wiki/2022_FIFA_World_Cup_broadcasting_rights
2022,Japan,Abema/TV Asahi; Fuji TV; NHK; Tokyo MX,Listed on the 2022 rights page.,https://en.wikipedia.org/wiki/2022_FIFA_World_Cup_broadcasting_rights
2022,MENA,beIN Sports; Al Kass Sports Channels,Regional rights listing on the 2022 page.,https://en.wikipedia.org/wiki/2022_FIFA_World_Cup_broadcasting_rights
2022,Mexico,Sky; Televisa; TV Azteca,Listed on the 2022 rights page.,https://en.wikipedia.org/wiki/2022_FIFA_World_Cup_broadcasting_rights
2022,South Africa,SABC,Listed on the 2022 rights page.,https://en.wikipedia.org/wiki/2022_FIFA_World_Cup_broadcasting_rights
2022,South Korea,SBS; KBS; MBC,Listed on the 2022 rights page.,https://en.wikipedia.org/wiki/2022_FIFA_World_Cup_broadcasting_rights
2022,Spain,RTVE; Mediapro,Listed on the 2022 rights page.,https://en.wikipedia.org/wiki/2022_FIFA_World_Cup_broadcasting_rights
2022,United Kingdom,BBC; ITV; S4C,Listed on the 2022 rights page.,https://en.wikipedia.org/wiki/2022_FIFA_World_Cup_broadcasting_rights
2022,United States,Fox; Telemundo,Listed on the 2022 rights page.,https://en.wikipedia.org/wiki/2022_FIFA_World_Cup_broadcasting_rights
