world_cup_year,match_id,stage,match_date,home_team,away_team,network_english,network_spanish,us_viewers_english_m,us_viewers_spanish_m,us_viewers_combined_m,viewership_scope,includes_streaming_flag,source_url,notes
2014,M-2014-01,group stage,2014-06-12,Brazil,Croatia,,,,,,,,,
2014,M-2014-02,group stage,2014-06-13,Mexico,Cameroon,,,,,,,,,
2014,M-2014-03,group stage,2014-06-13,Spain,Netherlands,,,,,,,,,
2014,M-2014-04,group stage,2014-06-13,Chile,Australia,,,,,,,,,
2014,M-2014-05,group stage,2014-06-14,Colombia,Greece,,,,,,,,,
2014,M-2014-06,group stage,2014-06-14,Uruguay,Costa Rica,,,,,,,,,
2014,M-2014-07,group stage,2014-06-14,England,Italy,,,,,,,,,
2014,M-2014-08,group stage,2014-06-14,Ivory Coast,Japan,,,,,,,,,
2014,M-2014-09,group stage,2014-06-15,Switzerland,Ecuador,,,,,,,,,
2014,M-2014-10,group stage,2014-06-15,France,Honduras,,,,,,,,,
2014,M-2014-11,group stage,2014-06-15,Argentina,Bosnia and Herzegovina,,,,,,,,,
2014,M-2014-12,group stage,2014-06-16,Germany,Portugal,,,,,,,,,
2014,M-2014-13,group stage,2014-06-16,Iran,Nigeria,,,,,,,,,
2014,M-2014-14,group stage,2014-06-16,Ghana,United States,ESPN,Univision,11.1,4.8,15.9,Live TV audience (U.S.),No,https://www.sportsmediawatch.com/2014/06/world-cup-tv-ratings-espn-univision-both-set-records-for-usaghana/,Sports Media Watch citing ESPN and Univision. Combined audience reported as approximately 15.9M.
2014,M-2014-15,group stage,2014-06-17,Belgium,Algeria,,,,,,,,,
2014,M-2014-16,group stage,2014-06-17,Brazil,Mexico,,,,,,,,,
2014,M-2014-17,group stage,2014-06-17,Russia,South Korea,,,,,,,,,
2014,M-2014-18,group stage,2014-06-18,Australia,Netherlands,,,,,,,,,
2014,M-2014-19,group stage,2014-06-18,Spain,Chile,,,,,,,,,
2014,M-2014-20,group stage,2014-06-18,Cameroon,Croatia,,,,,,,,,
2014,M-2014-21,group stage,2014-06-19,Colombia,Ivory Coast,,,,,,,,,
2014,M-2014-22,group stage,2014-06-19,Uruguay,England,,,,,,,,,
2014,M-2014-23,group stage,2014-06-19,Japan,Greece,,,,,,,,,
2014,M-2014-24,group stage,2014-06-20,Italy,Costa Rica,,,,,,,,,
2014,M-2014-25,group stage,2014-06-20,Switzerland,France,,,,,,,,,
2014,M-2014-26,group stage,2014-06-20,Honduras,Ecuador,,,,,,,,,
2014,M-2014-27,group stage,2014-06-21,Argentina,Iran,,,,,,,,,
2014,M-2014-28,group stage,2014-06-21,Germany,Ghana,,,,,,,,,
2014,M-2014-29,group stage,2014-06-21,Nigeria,Bosnia and Herzegovina,,,,,,,,,
2014,M-2014-30,group stage,2014-06-22,Belgium,Russia,,,,,,,,,
2014,M-2014-31,group stage,2014-06-22,South Korea,Algeria,,,,,,,,,
2014,M-2014-32,group stage,2014-06-22,United States,Portugal,ESPN,Univision,18.2,6.5,24.7,Live TV audience (U.S.),No,https://www.sportsmediawatch.com/2014/06/world-cup-tv-ratings-univision-adds-6-5m-for-usaportugal-combined-audience-is-24-7m/,Record U.S. World Cup audience at the time.
2014,M-2014-33,group stage,2014-06-23,Australia,Spain,,,,,,,,,
2014,M-2014-34,group stage,2014-06-23,Netherlands,Chile,,,,,,,,,
2014,M-2014-35,group stage,2014-06-23,Cameroon,Brazil,,,,,,,,,
2014,M-2014-36,group stage,2014-06-23,Croatia,Mexico,,,,,,,,,
2014,M-2014-37,group stage,2014-06-24,Costa Rica,England,,,,,,,,,
2014,M-2014-38,group stage,2014-06-24,Italy,Uruguay,,,,,,,,,
2014,M-2014-39,group stage,2014-06-24,Japan,Colombia,,,,,,,,,
2014,M-2014-40,group stage,2014-06-24,Greece,Ivory Coast,,,,,,,,,
2014,M-2014-41,group stage,2014-06-25,Bosnia and Herzegovina,Iran,,,,,,,,,
2014,M-2014-42,group stage,2014-06-25,Nigeria,Argentina,,,,,,,,,
2014,M-2014-43,group stage,2014-06-25,Honduras,Switzerland,,,,,,,,,
2014,M-2014-44,group stage,2014-06-25,Ecuador,France,,,,,,,,,
2014,M-2014-45,group stage,2014-06-26,Portugal,Ghana,,,,,,,,,
2014,M-2014-46,group stage,2014-06-26,United States,Germany,,,,,,,,,
2014,M-2014-47,group stage,2014-06-26,Algeria,Russia,,,,,,,,,
2014,M-2014-48,group stage,2014-06-26,South Korea,Belgium,,,,,,,,,
2014,M-2014-49,round of 16,2014-06-28,Brazil,Chile,,,,,,,,,
2014,M-2014-50,round of 16,2014-06-28,Colombia,Uruguay,,,,,,,,,
2014,M-2014-51,round of 16,2014-06-29,Netherlands,Mexico,ESPN,Univision,6.5,,17.0,Live TV audience (U.S.),No,https://www.sportsmediawatch.com/2014/06/world-cup-tv-ratings-other-matches-strong-over-the-weekend/,Sports Media Watch reported 6.5M on ESPN and 17.0M overall; Spanish-only split not stated in source.
2014,M-2014-52,round of 16,2014-06-29,Costa Rica,Greece,,,,,,,,,
2014,M-2014-53,round of 16,2014-06-30,France,Nigeria,,,,,,,,,
2014,M-2014-54,round of 16,2014-06-30,Germany,Algeria,,,,,,,,,
2014,M-2014-55,round of 16,2014-07-01,Argentina,Switzerland,,,,,,,,,
2014,M-2014-56,round of 16,2014-07-01,Belgium,United States,ESPN,Univision,16.5,5.1,21.6,Live TV audience (U.S.),No,https://www.sportsmediawatch.com/2014/07/world-cup-tv-ratings-belgiumusa-falls-short-of-portugal-match-but-still-huge/,"WatchESPN added 1.1M viewers, but TV columns here exclude streaming."
2014,M-2014-57,quarter-finals,2014-07-04,France,Germany,,,,,,,,,
2014,M-2014-58,quarter-finals,2014-07-04,Brazil,Colombia,,,,,,,,,
2014,M-2014-59,quarter-finals,2014-07-05,Argentina,Belgium,,,,,,,,,
2014,M-2014-60,quarter-finals,2014-07-05,Netherlands,Costa Rica,,,,,,,,,
2014,M-2014-61,semi-finals,2014-07-08,Brazil,Germany,,,,,,,,,
2014,M-2014-62,semi-finals,2014-07-09,Netherlands,Argentina,,,,,,,,,
2014,M-2014-63,third-place match,2014-07-12,Brazil,Netherlands,,,,,,,,,
2014,M-2014-64,final,2014-07-13,Germany,Argentina,ABC,Univision,17.3,9.2,26.5,Live TV audience (U.S.),No,https://www.sportsmediawatch.com/2014/07/world-cup-tv-ratings-over-26m-for-world-cup-final-including-17-3m-on-abc/,Final. Combined audience from ABC + Univision; WatchESPN not included in these columns.
